WEEK_ID,YEAR,WEEK,NO_QR,NB_EXTERMINATIONS,NB_EXTERMINATIONS_2,NB_EXTERMINATIONS_3,NB_EXTERMINATIONS_4,LABEL_1mois,LABEL_3mois,MONTH,MONTH_NAME
2011-1,2011,1,01,0.0,0.0,0.0,0.0,0.0,0.0,1,January
2011-2,2011,2,01,0.0,0.0,0.0,0.0,0.0,0.0,1,January
2011-3,2011,3,01,0.0,0.0,0.0,0.0,0.0,0.0,1,January
2011-4,2011,4,01,0.0,0.0,0.0,0.0,0.0,0.0,1,January
2011-5,2011,5,01,0.0,0.0,0.0,0.0,0.0,0.0,1,January
2011-6,2011,6,01,0.0,0.0,0.0,0.0,0.0,0.0,2,February
2011-7,2011,7,01,0.0,0.0,0.0,0.0,0.0,0.0,2,February
2011-8,2011,8,01,0.0,0.0,0.0,0.0,0.0,0.0,2,February
2011-9,2011,9,01,0.0,0.0,0.0,0.0,0.0,0.0,2,February
2011-10,2011,10,01,0.0,0.0,0.0,0.0,0.0,0.0,3,March
2011-11,2011,11,01,0.0,0.0,0.0,0.0,0.0,0.0,3,March
2011-12,2011,12,01,0.0,0.0,0.0,0.0,0.0,0.0,3,March
2011-13,2011,13,01,0.0,0.0,0.0,0.0,0.0,0.0,3,March
2011-14,2011,14,01,0.0,0.0,0.0,0.0,0.0,0.0,4,April
2011-15,2011,15,01,0.0,0.0,0.0,0.0,0.0,0.0,4,April
2011-16,2011,16,01,0.0,0.0,0.0,0.0,0.0,0.0,4,April
2011-17,2011,17,01,0.0,0.0,0.0,0.0,0.0,1.0,4,April
2011-18,2011,18,01,0.0,0.0,0.0,0.0,0.0,2.0,5,May
2011-19,2011,19,01,0.0,0.0,0.0,0.0,0.0,2.0,5,May
2011-20,2011,20,01,0.0,0.0,0.0,0.0,0.0,3.0,5,May
2011-21,2011,21,01,0.0,0.0,0.0,0.0,0.0,5.0,5,May
2011-22,2011,22,01,0.0,0.0,0.0,0.0,0.0,6.0,5,May
2011-23,2011,23,01,0.0,0.0,0.0,0.0,0.0,7.0,6,June
2011-24,2011,24,01,0.0,0.0,0.0,0.0,0.0,8.0,6,June
2011-25,2011,25,01,0.0,0.0,0.0,0.0,1.0,8.0,6,June
2011-26,2011,26,01,0.0,0.0,0.0,0.0,2.0,8.0,6,June
2011-27,2011,27,01,0.0,0.0,0.0,0.0,2.0,9.0,7,July
2011-28,2011,28,01,1.0,1.0,1.0,1.0,3.0,10.0,7,July
2011-29,2011,29,01,1.0,2.0,2.0,2.0,4.0,9.0,7,July
2011-30,2011,30,01,0.0,1.0,2.0,2.0,4.0,13.0,7,July
2011-31,2011,31,01,1.0,1.0,2.0,3.0,5.0,15.0,8,August
2011-32,2011,32,01,2.0,3.0,3.0,4.0,5.0,14.0,8,August
2011-33,2011,33,01,1.0,3.0,4.0,4.0,3.0,12.0,8,August
2011-34,2011,34,01,1.0,2.0,4.0,5.0,2.0,11.0,8,August
2011-35,2011,35,01,1.0,2.0,3.0,5.0,2.0,14.0,8,August
2011-36,2011,36,01,0.0,1.0,2.0,3.0,2.0,14.0,9,September
2011-37,2011,37,01,0.0,0.0,1.0,2.0,2.0,14.0,9,September
2011-38,2011,38,01,1.0,1.0,1.0,2.0,7.0,14.0,9,September
2011-39,2011,39,01,1.0,2.0,2.0,2.0,8.0,13.0,9,September
2011-40,2011,40,01,0.0,1.0,2.0,2.0,7.0,13.0,10,October
2011-41,2011,41,01,5.0,5.0,6.0,7.0,7.0,14.0,10,October
2011-42,2011,42,01,2.0,7.0,7.0,8.0,2.0,10.0,10,October
2011-43,2011,43,01,0.0,2.0,7.0,7.0,4.0,14.0,10,October
2011-44,2011,44,01,0.0,0.0,2.0,7.0,5.0,15.0,10,October
2011-45,2011,45,01,0.0,0.0,0.0,2.0,5.0,15.0,11,November
2011-46,2011,46,01,4.0,4.0,4.0,4.0,5.0,15.0,11,November
2011-47,2011,47,01,1.0,5.0,5.0,5.0,1.0,11.0,11,November
2011-48,2011,48,01,0.0,1.0,5.0,5.0,1.0,10.0,11,November
2011-49,2011,49,01,0.0,0.0,1.0,5.0,2.0,10.0,12,December
2011-50,2011,50,01,0.0,0.0,0.0,1.0,3.0,10.0,12,December
2011-51,2011,51,01,1.0,1.0,1.0,1.0,9.0,10.0,12,December
2011-52,2011,52,01,1.0,2.0,2.0,2.0,9.0,14.0,12,December
2012-1,2012,1,01,1.0,2.0,3.0,3.0,8.0,14.0,1,January
2012-2,2012,2,01,6.0,7.0,8.0,9.0,7.0,13.0,1,January
2012-3,2012,3,01,1.0,7.0,8.0,9.0,1.0,7.0,1,January
2012-4,2012,4,01,0.0,1.0,7.0,8.0,0.0,6.0,1,January
2012-5,2012,5,01,0.0,0.0,1.0,7.0,0.0,6.0,1,January
2012-6,2012,6,01,0.0,0.0,0.0,1.0,0.0,6.0,2,February
2012-7,2012,7,01,0.0,0.0,0.0,0.0,0.0,8.0,2,February
2012-8,2012,8,01,0.0,0.0,0.0,0.0,5.0,8.0,2,February
2012-9,2012,9,01,0.0,0.0,0.0,0.0,6.0,8.0,2,February
2012-10,2012,10,01,0.0,0.0,0.0,0.0,6.0,9.0,3,March
2012-11,2012,11,01,5.0,5.0,5.0,5.0,6.0,10.0,3,March
2012-12,2012,12,01,1.0,6.0,6.0,6.0,1.0,5.0,3,March
2012-13,2012,13,01,0.0,1.0,6.0,6.0,0.0,5.0,3,March
2012-14,2012,14,01,0.0,0.0,1.0,6.0,0.0,5.0,4,April
2012-15,2012,15,01,0.0,0.0,0.0,1.0,2.0,5.0,4,April
2012-16,2012,16,01,0.0,0.0,0.0,0.0,2.0,5.0,4,April
2012-17,2012,17,01,0.0,0.0,0.0,0.0,2.0,6.0,4,April
2012-18,2012,18,01,2.0,2.0,2.0,2.0,3.0,8.0,4,April
2012-19,2012,19,01,0.0,2.0,2.0,2.0,2.0,6.0,5,May
2012-20,2012,20,01,0.0,0.0,2.0,2.0,2.0,8.0,5,May
2012-21,2012,21,01,1.0,1.0,1.0,3.0,3.0,8.0,5,May
2012-22,2012,22,01,1.0,2.0,2.0,2.0,2.0,7.0,5,May
2012-23,2012,23,01,0.0,1.0,2.0,2.0,1.0,12.0,6,June
2012-24,2012,24,01,1.0,1.0,2.0,3.0,1.0,12.0,6,June
2012-25,2012,25,01,0.0,1.0,1.0,2.0,1.0,12.0,6,June
2012-26,2012,26,01,0.0,0.0,1.0,1.0,3.0,12.0,6,June
2012-27,2012,27,01,0.0,0.0,0.0,1.0,3.0,12.0,7,July
2012-28,2012,28,01,1.0,1.0,1.0,1.0,5.0,12.0,7,July
2012-29,2012,29,01,2.0,3.0,3.0,3.0,4.0,12.0,7,July
2012-30,2012,30,01,0.0,2.0,3.0,3.0,2.0,10.0,7,July
2012-31,2012,31,01,2.0,2.0,4.0,5.0,8.0,11.0,7,July
2012-32,2012,32,01,0.0,2.0,2.0,4.0,6.0,9.0,8,August
2012-33,2012,33,01,0.0,0.0,2.0,2.0,7.0,10.0,8,August
2012-34,2012,34,01,6.0,6.0,6.0,8.0,7.0,12.0,8,August
2012-35,2012,35,01,0.0,6.0,6.0,6.0,1.0,6.0,8,August
2012-36,2012,36,01,1.0,1.0,7.0,7.0,1.0,6.0,9,September
2012-37,2012,37,01,0.0,1.0,1.0,7.0,1.0,7.0,9,September
2012-38,2012,38,01,0.0,0.0,1.0,1.0,1.0,7.0,9,September
2012-39,2012,39,01,0.0,0.0,0.0,1.0,2.0,7.0,9,September
2012-40,2012,40,01,1.0,1.0,1.0,1.0,2.0,7.0,10,October
2012-41,2012,41,01,0.0,1.0,1.0,1.0,2.0,6.0,10,October
2012-42,2012,42,01,1.0,1.0,2.0,2.0,4.0,6.0,10,October
2012-43,2012,43,01,0.0,1.0,1.0,2.0,3.0,11.0,10,October
2012-44,2012,44,01,1.0,1.0,2.0,2.0,3.0,21.0,10,October
