numero;nom_projet;nom_rue;nb_log;hlm_familles;hlm_pa;hlm_autres;projetype;type_prog;an_orig;an_effect;arrond;villelie;qr;localisation;aired_id;longitude;latitude;xnad83;ynad83
231;Place Hillside;Hillside;6;6;0;0;HLM;;1974;;;Westmount;81;Aire de diffusion;24663257;-73.5902912037286;45.4813097156461;297741.38586094;5037935.56777429
497;Résidence Westmount;Hillside;40;0;40;0;HLM;;1990;;;Westmount;81;Aire de diffusion;24663257;-73.5902912037286;45.4813097156461;297741.38586094;5037935.56777429
64416;Place Hillside;Hillside;23;23;0;0;HLM;;1974;;;Westmount;81;Aire de diffusion;24663257;-73.5902912037286;45.4813097156461;297741.38586094;5037935.56777429
64417;Place Hillside;Hillside;18;18;0;0;HLM;;1974;;;Westmount;81;Aire de diffusion;24663257;-73.5902912037286;45.4813097156461;297741.38586094;5037935.56777429
64418;Place Hillside;Hillside;17;17;0;0;HLM;;1974;;;Westmount;81;Aire de diffusion;24663257;-73.5902912037286;45.4813097156461;297741.38586094;5037935.56777429
737;La résidence du Vieux-Couvent II;Sainte-Anne;15;0;15;0;HLM;;1991;;;Sainte-Anne-de-Bellevue;91;Aire de diffusion;24663123;-73.9540759098487;45.4076430932277;269255.889882067;5029845.37829862
738;La résidence du Vieux-Couvent I;Sainte-Anne;15;0;15;0;HLM;;1983;;;Sainte-Anne-de-Bellevue;91;Aire de diffusion;24663123;-73.9540759098487;45.4076430932277;269255.889882067;5029845.37829862
106;Résidence Edwin-Crawford;Maywood;133;0;121;12;HLM;;1977;;;Pointe-Claire;86;Aire de diffusion;24663182;-73.8099256337473;45.4495051549583;280557.596074964;5034443.89385179
1512;Propriétés des aînés du lac St-Louis;Cartier;140;0;0;0;OBNL;Autres;1977;;;Pointe-Claire;86;Aire de diffusion;24663131;-73.8238227515824;45.4364182741248;279464.705801148;5032993.84227797
2295;OMHM - Résidence Maywood;Maywood;135;0;0;0;OMHM;LAQ;2003;;;Pointe-Claire;86;Aire de diffusion;24663182;-73.8099256337473;45.4495051549583;280557.596074964;5034443.89385179
1507;Projet impliquant des groupes vulnérables de la population - Données obfusquées;;9;0;0;0;OBNL;Aucun;1997;1997;;Mont-Royal;;Arrondissement / Ville liée;;-73.6516036987304;45.5097999572753;292958;5041110
1508;Hab. le Russell sur le Parc;Brittany;81;0;0;0;OBNL;Autres;1983;2011;;Mont-Royal;93;Aire de diffusion;24661595;-73.6505289512148;45.5200848867694;293040.308654896;5042251.72613645
64720;Projet impliquant des groupes vulnérables de la population - Données obfusquées;;5;0;0;0;OBNL;Aucun;1996;1996;;Mont-Royal;;Arrondissement / Ville liée;;-73.6516036987304;45.5097999572753;292958;5041110
